squadra selezionata,quota,squadra in casa,squadra fuori casa,data,oggi,SC,lega,2025,2024,filtri
bayer leverkusen,2.32,sc freiburg,bayer leverkusen,07/03/26 ore 14:30,OGGI,,bundesliga,6,2,F2
ajax,2.28,groningen,ajax,07/03/26 ore 15:30,OGGI,,eredivisie,3,2,F1
galatasaray,2.50,besiktas,galatasaray,07/03/26 ore 17:00,OGGI,,super lig,1,1,"F1,F3,F4"
borussia dortmund,1.85,1. fc koln,borussia dortmund,07/03/26 ore 17:30,OGGI,,bundesliga,2,4,"F1,F3,F4"
atletico madrid,1.66,atletico madrid,real sociedad,07/03/26 ore 17:30,OGGI,,laliga,3,3,F1
sporting cp,1.94,sc braga,sporting cp,07/03/26 ore 18:00,OGGI,,liga portugal,2,1,"F1,F3,F4"
al-nassr,1.25,al-nassr,neom,07/03/26 ore 19:00,OGGI,,saudi professional league,2,3,"F1,F3,F4"
psv eindhoven,1.32,psv eindhoven,az alkmaar,07/03/26 ore 19:00,OGGI,,eredivisie,1,1,"F1,F3,F4"
barcelona,1.67,athletic club,barcelona,07/03/26 ore 20:00,OGGI,,laliga,1,1,"F1,F3,F4"
marseille,2.18,toulouse,marseille,07/03/26 ore 20:05,OGGI,,ligue 1,4,2,F1
