squadra selezionata,campionato,squadra in casa,squadra fuori casa,data,F1,F2,F3,F4,F5,oggi
juventus,serie a,juventus,como,21/02/26 ore 14:00,,,x,,,OGGI
bayern munich,bundesliga,bayern munich,eintracht frankfurt,21/02/26 ore 14:30,x,,,x,x,OGGI
aston villa,premier league,aston villa,leeds,21/02/26 ore 15:00,,x,,,,OGGI
chelsea,premier league,chelsea,burnley,21/02/26 ore 15:00,,,x,,,OGGI
lens,ligue 1,lens,monaco,21/02/26 ore 16:00,,,,x,,OGGI
galatasaray,super lig,konyaspor,galatasaray,21/02/26 ore 17:00,x,,,x,x,OGGI
inter,serie a,lecce,inter,21/02/26 ore 17:00,x,,,x,x,OGGI
borussia dortmund,bundesliga,rb leipzig,borussia dortmund,21/02/26 ore 17:30,x,x,,x,x,OGGI
psv eindhoven,eredivisie,psv eindhoven,heerenveen,21/02/26 ore 17:45,x,,,x,x,OGGI
al-hilal saudi fc,saudi pro league,al-hilal saudi fc,al-ittihad fc,21/02/26 ore 19:00,x,,,,,OGGI
al-nassr,saudi pro league,al-nassr,al-hazm,21/02/26 ore 19:00,x,,,,,OGGI
manchester city,premier league,manchester city,newcastle,21/02/26 ore 20:00,x,,,x,x,OGGI
paris saint germain,ligue 1,paris saint germain,metz,21/02/26 ore 20:05,x,,,x,x,OGGI
napoli,serie a,atalanta,napoli,22/02/26 ore 14:00,x,,,,,
rangers,scottish premiership,livingston,rangers,22/02/26 ore 15:00,x,,,x,x,
arsenal,premier league,tottenham,arsenal,22/02/26 ore 16:30,x,,,x,x,
ac milan,serie a,ac milan,parma,22/02/26 ore 17:00,,,,x,,
feyenoord,eredivisie,feyenoord,telstar,22/02/26 ore 19:00,x,,,x,x,
as roma,serie a,as roma,cremonese,22/02/26 ore 19:45,,x,,,,
lyon,ligue 1,strasbourg,lyon,22/02/26 ore 19:45,,x,,,,
fenerbahce,super lig,fenerbahce,kasmpasa,23/02/26 ore 17:00,x,x,,x,x,
al-ahli jeddah,saudi pro league,damac,al-ahli jeddah,23/02/26 ore 19:00,,x,,,,
marseille,ligue 1,marseille,lyon,01/03/26 ore 19:45,x,,,,,
