#,squadra,lega,2025,2024,filtri
1,al-ahli jeddah,saudi professional league,1,5,F2
2,al-nassr,saudi professional league,2,3,"F1,F2"
3,al-hilal saudi fc,saudi professional league,3,2,"F1,F2"
4,dinamo zagreb,hnl,1,2,F2
5,paris saint germain,ligue 1,1,1,"F1,F2,F4,F5"
6,lens,ligue 1,2,8,"F2,F4"
7,marseille,ligue 1,4,2,F1
8,bayern munich,bundesliga,1,1,"F1,F4,F5"
9,borussia dortmund,bundesliga,2,4,"F1,F4,F5"
10,1899 hoffenheim,bundesliga,3,15,F2
11,vfb stuttgart,bundesliga,4,9,F2
12,arsenal,premier league,1,2,"F1,F2,F4,F5"
13,manchester city,premier league,2,3,"F1,F2,F4,F5"
14,aston villa,premier league,3,6,F2
15,manchester united,premier league,4,15,F2
16,chelsea,premier league,5,4,F3
17,liverpool,premier league,6,1,F3
18,inter,serie a,1,2,"F1,F2,F4,F5"
19,ac milan,serie a,2,8,"F2,F4"
20,napoli,serie a,3,1,"F1,F2"
21,psv eindhoven,eredivisie,1,1,"F1,F2,F4,F5"
22,feyenoord,eredivisie,2,3,"F1,F4"
23,nec nijmegen,eredivisie,3,8,F2
24,ajax,eredivisie,4,2,F3
25,fc porto,liga portugal,1,3,F2
26,sporting cp,liga portugal,2,1,"F1,F2"
27,benfica,liga portugal,3,2,F3
28,heart of midlothian,scottish premiership,1,7,F2
29,rangers,scottish premiership,2,2,"F1,F4,F5"
30,celtic,scottish premiership,3,1,F3
31,barcelona,laliga,1,1,F1
32,real madrid,laliga,2,2,"F1,F2"
33,villarreal,laliga,3,5,F1
34,atletico madrid,laliga,4,3,"F1,F2"
35,galatasaray,super lig,1,1,"F1,F2,F4,F5"
36,fenerbahce,super lig,2,2,"F1,F2,F4,F5"
