squadra,lega,2025,2024,filtri
al-nassr,saudi professional league,1,3,"F1,F2"
al-hilal saudi fc,saudi professional league,2,2,"F1,F2"
al-ahli jeddah,saudi professional league,3,5,F2
dinamo zagreb,hnl,1,2,F2
paris saint germain,ligue 1,1,1,"F1,F2,F4,F5"
lens,ligue 1,2,8,F4
lyon,ligue 1,3,6,F2
marseille,ligue 1,4,2,"F1,F2"
bayern munich,bundesliga,1,1,"F1,F2,F4,F5"
borussia dortmund,bundesliga,2,4,"F1,F2,F4,F5"
arsenal,premier league,1,2,"F1,F2,F4,F5"
manchester city,premier league,2,3,"F1,F2,F4,F5"
aston villa,premier league,3,6,F2
chelsea,premier league,4,4,"F1,F2"
liverpool,premier league,6,1,F3
inter,serie a,1,2,"F1,F2,F4,F5"
ac milan,serie a,2,8,F4
napoli,serie a,3,1,"F1,F2"
as roma,serie a,4,5,F2
psv eindhoven,eredivisie,1,1,"F1,F2,F4,F5"
feyenoord,eredivisie,2,3,"F1,F2,F4"
ajax,eredivisie,4,2,F3
fc porto,liga portugal,1,3,F2
sporting cp,liga portugal,2,1,"F1,F2"
benfica,liga portugal,3,2,F3
rangers,scottish premiership,2,2,"F1,F2,F4,F5"
celtic,scottish premiership,3,1,F3
barcelona,laliga,1,1,"F1,F2"
real madrid,laliga,2,2,"F1,F2"
villarreal,laliga,3,5,"F1,F2"
atletico madrid,laliga,4,3,"F1,F2"
galatasaray,super lig,1,1,"F1,F2,F4,F5"
fenerbahce,super lig,2,2,"F1,F2,F4,F5"
