team_id,team_name,league_id,league_name,season,rank,points,played,won,draw,lost,goals_for,goals_against,goal_diff,current_matchday
2939,al-nassr,307,saudi professional league,2025,1,55,22,18,1,3,57,18,39,22
2932,al-hilal saudi fc,307,saudi professional league,2025,2,54,22,16,6,0,56,19,37,22
85,paris saint germain,61,ligue 1,2025,1,54,23,17,3,3,52,19,33,23
81,marseille,61,ligue 1,2025,4,40,23,12,4,7,48,31,17,23
157,bayern munich,78,bundesliga,2025,1,60,23,19,3,1,85,21,64,23
165,borussia dortmund,78,bundesliga,2025,2,52,23,15,7,1,49,22,27,23
42,arsenal,39,premier league,2025,1,61,28,18,7,3,56,21,35,28
50,manchester city,39,premier league,2025,2,56,27,17,5,5,56,25,31,28
49,chelsea,39,premier league,2025,4,45,27,12,9,6,48,31,17,28
505,inter,135,serie a,2025,1,64,26,21,1,4,62,21,41,26
492,napoli,135,serie a,2025,3,50,26,15,5,6,39,27,12,26
197,psv eindhoven,88,eredivisie,2025,1,62,24,20,2,2,70,29,41,24
209,feyenoord,88,eredivisie,2025,2,48,24,15,3,6,55,33,22,24
228,sporting cp,94,liga portugal,2025,2,58,23,18,4,1,59,12,47,23
257,rangers,179,scottish premiership,2025,2,56,28,15,11,2,49,23,26,28
529,barcelona,140,laliga,2025,1,61,25,20,1,4,67,25,42,25
541,real madrid,140,laliga,2025,2,60,25,19,3,3,54,21,33,25
533,villarreal,140,laliga,2025,3,51,25,16,3,6,47,27,20,25
530,atletico madrid,140,laliga,2025,4,48,25,14,6,5,42,23,19,25
645,galatasaray,203,super lig,2025,1,55,23,17,4,2,55,17,38,23
611,fenerbahce,203,super lig,2025,2,52,22,15,7,0,51,20,31,23
