team_name,league_name,points,points_prima,diff,matches,matches_prima,diff_partite
arsenal,premier league,58,58,0,,,
manchester city,premier league,53,58,-5,,,
bayern munich,bundesliga,57,57,0,,,
borussia dortmund,bundesliga,51,57,-6,,,
inter,serie a,61,61,0,,,
ac milan,serie a,54,61,-7,,,
lens,ligue 1,52,52,0,,,
paris saint germain,ligue 1,51,52,-1,,,
psv eindhoven,eredivisie,59,59,0,,,
feyenoord,eredivisie,45,59,-14,,,
rangers,scottish premiership,55,57,-2,,,
galatasaray,super lig,55,55,0,,,
fenerbahce,super lig,52,55,-3,,,
