team_id,team_name,league_id,league_name,season,rank,points,played,won,draw,lost,goals_for,goals_against,goal_diff,current_matchday
2939,al-nassr,307,saudi professional league,2025,1,55,22,18,1,3,57,18,39,22
2929,al-ahli jeddah,307,saudi professional league,2025,3,53,22,16,5,1,44,15,29,22
620,dinamo zagreb,210,hnl,2025,1,51,23,16,3,4,52,17,35,23
80,lyon,61,ligue 1,2025,3,45,23,14,3,6,37,23,14,23
165,borussia dortmund,78,bundesliga,2025,2,52,23,15,7,1,49,22,27,23
66,aston villa,39,premier league,2025,3,51,27,15,6,6,38,28,10,28
49,chelsea,39,premier league,2025,4,45,27,12,9,6,48,31,17,28
497,as roma,135,serie a,2025,4,50,26,16,2,8,34,16,18,26
209,feyenoord,88,eredivisie,2025,2,48,24,15,3,6,55,33,22,24
257,rangers,179,scottish premiership,2025,2,56,28,15,11,2,49,23,26,28
533,villarreal,140,laliga,2025,3,51,25,16,3,6,47,27,20,25
611,fenerbahce,203,super lig,2025,2,52,22,15,7,0,51,20,31,23
