#,squadra,lega,2025,2024,filtri
1,al-nassr,saudi professional league,1,3,"F1,F3,F4"
2,al-hilal saudi fc,saudi professional league,2,2,"F1,F3"
3,al-ahli jeddah,saudi professional league,3,5,F1
4,dinamo zagreb,hnl,1,2,"F1,F3,F4"
5,paris saint germain,ligue 1,1,1,"F1,F3,F4"
6,lens,ligue 1,2,8,F3
7,lyon,ligue 1,3,6,F1
8,lille,ligue 1,4,5,F1
9,bayern munich,bundesliga,1,1,"F1,F3,F4"
10,borussia dortmund,bundesliga,2,4,"F1,F3,F4"
11,bayer leverkusen,bundesliga,4,2,F1
12,vfb stuttgart,bundesliga,5,9,F2
13,arsenal,premier league,1,2,"F1,F3"
14,manchester city,premier league,2,3,"F1,F3,F4"
15,liverpool,premier league,4,1,F1
16,inter,serie a,1,2,"F1,F3,F4"
17,napoli,serie a,2,1,"F1,F3"
18,juventus,serie a,4,4,F1
19,psv eindhoven,eredivisie,1,1,"F1,F3,F4"
20,feyenoord,eredivisie,2,3,"F1,F3,F4"
21,ajax,eredivisie,4,2,F2
22,fc porto,liga portugal,1,3,F3
23,benfica,liga portugal,2,2,"F1,F3,F4"
24,sporting cp,liga portugal,3,1,F2
25,rangers,scottish premiership,2,2,"F1,F3,F4"
26,celtic,scottish premiership,3,1,F2
27,barcelona,laliga,1,1,"F1,F3,F4"
28,galatasaray,super lig,1,1,"F1,F3,F4"
29,fenerbahce,super lig,2,2,"F1,F3,F4"
