#,squadra,lega,2025,2024,filtri
1,arsenal,premier league,1,2,"F1,F3"
2,aston villa,premier league,4,6,F1
3,paris saint germain,ligue 1,1,1,"F1,F3"
4,lens,ligue 1,2,8,F3
5,marseille,ligue 1,3,2,F1
6,lyon,ligue 1,4,6,F1
7,monaco,ligue 1,6,3,F2
8,bayern munich,bundesliga,1,1,"F1,F3"
9,feyenoord,eredivisie,2,3,"F1,F3"
10,ajax,eredivisie,4,2,F2
11,fc porto,primeira liga,1,3,F3
12,sporting cp,primeira liga,2,1,"F1,F3"
13,benfica,primeira liga,3,2,F2
14,inter,serie a,1,2,"F1,F3"
15,ac milan,serie a,2,8,F3
16,napoli,serie a,3,1,F1
17,juventus,serie a,5,4,F2
18,barcelona,la liga,1,1,"F1,F3"
19,real madrid,la liga,2,2,"F1,F3,F4"
20,rangers,scottish premiership,2,2,"F1,F3"
21,celtic,scottish premiership,3,1,F2
22,galatasaray,super lig,1,1,"F1,F3"
23,fenerbahce,super lig,2,2,"F1,F3"
24,dinamo zagreb,hnl,1,2,"F1,F3"
25,al-nassr,saudi pro league,1,3,"F1,F3"
26,al-hilal saudi fc,saudi pro league,2,2,"F1,F3"
27,al-ahli jeddah,saudi pro league,3,5,F1
