match_id,data,squadra selezionata,squadra in casa,squadra fuori casa,quota
1378142,08/03/26,inter,ac milan,inter,2.22
1381096,08/03/26,feyenoord,nac breda,feyenoord,1.88
1387916,08/03/26,lens,lens,metz,1.26
1384040,08/03/26,dinamo zagreb,hnk hajduk split,dinamo zagreb,2.18
1391088,08/03/26,villarreal,villarreal,elche,1.49
1387918,08/03/26,lyon,lyon,paris fc,1.7
1396454,08/03/26,benfica,benfica,fc porto,2.18
1394653,08/03/26,fenerbahce,fenerbahce,samsunspor,1.45
1378138,08/03/26,as roma,genoa,as roma,1.9
1387922,07/03/26,marseille,toulouse,marseille,2.18
1391079,07/03/26,barcelona,athletic club,barcelona,1.67
1381098,07/03/26,psv eindhoven,psv eindhoven,az alkmaar,1.32
1396455,07/03/26,sporting cp,sc braga,sporting cp,1.94
1391080,07/03/26,atletico madrid,atletico madrid,real sociedad,1.66
1436133,07/03/26,al-nassr,al-nassr,neom,1.25
1381094,07/03/26,ajax,groningen,ajax,2.28
1394651,07/03/26,galatasaray,besiktas,galatasaray,2.5
1388526,07/03/26,bayer leverkusen,sc freiburg,bayer leverkusen,2.32
1388525,07/03/26,borussia dortmund,1. fc koln,borussia dortmund,1.85
1388524,06/03/26,bayern munich,bayern munich,borussia m'gladbach,1.21
1391081,06/03/26,real madrid,celta vigo,real madrid,2.26
1387921,06/03/26,paris saint germain,paris saint germain,monaco,1.35
1436135,06/03/26,al-hilal saudi fc,al-hilal saudi fc,al najma,1.08
1436136,06/03/26,al-ahli jeddah,al-ahli jeddah,al-ittihad fc,1.85
1378143,06/03/26,napoli,napoli,torino,1.55
1379249,04/03/26,aston villa,aston villa,chelsea,2.7
1379255,04/03/26,manchester city,manchester city,nottingham forest,1.41
1388455,04/03/26,bayer leverkusen,hamburger sv,bayer leverkusen,1.9
1382810,04/03/26,celtic,aberdeen,celtic,1.53
1379251,04/03/26,arsenal,brighton,arsenal,1.65
1379258,03/03/26,liverpool,wolves,liverpool,1.45
1391076,02/03/26,real madrid,real madrid,getafe,1.33
1396447,02/03/26,benfica,gil vicente,benfica,1.55
1381091,01/03/26,ajax,pec zwolle,ajax,1.71
1382839,01/03/26,rangers,rangers,celtic,2.14
1379239,01/03/26,arsenal,arsenal,chelsea,1.49
1384034,01/03/26,dinamo zagreb,dinamo zagreb,hnk gorica,1.28
1381089,01/03/26,feyenoord,twente,feyenoord,2.98
1394640,01/03/26,fenerbahce,antalyaspor,fenerbahce,1.51
1378129,01/03/26,as roma,as roma,juventus,2.58
1387908,01/03/26,lyon,marseille,lyon,3.75
