match_id,profitto,ROI %,Successo %,PF,data,squadra selezionata,squadra in casa,squadra fuori casa,hs,as,vincitore,esito_pick,quota
TOTALE,11.45,13.31,68.6,1.42,,,,,,,,,
1394672,0.81,,,,08/04/26,galatasaray,Göztepe,Galatasaray,1,3,Galatasaray,VINTA,1.81
1436171,-1.0,,,,08/04/26,al-ahli jeddah,Al-Fayha,Al-Ahli Jeddah,1,1,pareggio,PERSA,1.48
1436167,0.15,,,,08/04/26,al-hilal saudi fc,Al-Hilal Saudi FC,Al Kholood,6,0,Al-Hilal Saudi FC,VINTA,1.15
1378169,1.5,,,,06/04/26,napoli,Napoli,AC Milan,1,0,Napoli,VINTA,2.5
1378166,0.38,,,,06/04/26,juventus,Juventus,Genoa,2,0,Juventus,VINTA,1.38
1396481,-1.0,,,,06/04/26,benfica,Casa Pia,Benfica,1,1,pareggio,PERSA,1.2
1394677,0.93,,,,05/04/26,fenerbahce,Fenerbahçe,Beşiktaş,1,0,Fenerbahçe,VINTA,1.93
1387947,1.06,,,,05/04/26,monaco,Monaco,Marseille,2,1,Monaco,VINTA,2.06
1387941,-1.0,,,,05/04/26,lyon,Angers,Lyon,0,0,pareggio,PERSA,1.62
1378165,0.57,,,,05/04/26,inter,Inter,AS Roma,5,2,Inter,VINTA,1.57
1381122,-1.0,,,,05/04/26,feyenoord,FC Volendam,Feyenoord,0,0,pareggio,PERSA,1.45
1382852,0.53,,,,05/04/26,celtic,Dundee,Celtic,1,2,Celtic,VINTA,1.53
1391110,1.02,,,,04/04/26,barcelona,Atletico Madrid,Barcelona,1,2,Barcelona,VINTA,2.02
1384054,0.19,,,,04/04/26,dinamo zagreb,Dinamo Zagreb,NK Osijek,7,0,Dinamo Zagreb,VINTA,1.19
1394684,-1.0,,,,04/04/26,galatasaray,Trabzonspor,Galatasaray,2,1,Trabzonspor,PERSA,2.16
1388557,1.72,,,,04/04/26,borussia dortmund,VfB Stuttgart,Borussia Dortmund,0,2,Borussia Dortmund,VINTA,2.72
1436148,0.17,,,,04/04/26,al-ahli jeddah,Al-Ahli Jeddah,Damac,3,0,Al-Ahli Jeddah,VINTA,1.17
1396482,0.39,,,,04/04/26,fc porto,FC Porto,Famalicao,2,2,pareggio,VINTAP,1.39
1382856,0.22,,,,04/04/26,rangers,Rangers,Dundee Utd,4,2,Rangers,VINTA,1.22
1381119,-1.0,,,,04/04/26,ajax,Ajax,Twente,1,2,Twente,PERSA,2.28
1387944,-1.0,,,,04/04/26,lens,Lille,Lens,3,0,Lille,PERSA,2.32
1391114,-1.0,,,,04/04/26,real madrid,Mallorca,Real Madrid,2,1,Mallorca,PERSA,1.54
1436153,-1.0,,,,04/04/26,al-hilal saudi fc,Al-Hilal Saudi FC,Al Taawon,2,2,pareggio,PERSA,1.28
1388554,0.44,,,,04/04/26,bayern munich,SC Freiburg,Bayern München,2,3,Bayern München,VINTA,1.44
1396487,0.28,,,,03/04/26,sporting cp,Sporting CP,Santa Clara,4,2,Sporting CP,VINTA,1.28
1436154,0.09,,,,03/04/26,al-nassr,Al-Nassr,Al Najma,5,2,Al-Nassr,VINTA,1.09
1387948,0.25,,,,03/04/26,paris saint germain,Paris Saint Germain,Toulouse,3,1,Paris Saint Germain,VINTA,1.25
1387933,0.22,,,,20/03/26,lens,Lens,Angers,5,1,Lens,VINTA,1.22
1391108,0.91,,,,20/03/26,villarreal,Villarreal,Real Sociedad,3,1,Villarreal,VINTA,1.91
1378156,0.72,,,,20/03/26,napoli,Cagliari,Napoli,0,1,Napoli,VINTA,1.72
1394671,0.29,,,,17/03/26,fenerbahce,Fenerbahçe,Gaziantep FK,4,1,Fenerbahçe,VINTA,1.29
1382845,0.56,,,,15/03/26,rangers,ST Mirren,Rangers,0,1,Rangers,VINTA,1.56
1396465,0.21,,,,15/03/26,fc porto,FC Porto,Moreirense,3,0,FC Porto,VINTA,1.21
1378147,-1.0,,,,15/03/26,ac milan,Lazio,AC Milan,1,0,Lazio,PERSA,1.84
1387924,-1.0,,,,15/03/26,lyon,Le Havre,Lyon,0,0,pareggio,PERSA,2.14
1379265,-1.0,,,,15/03/26,aston villa,Manchester United,Aston Villa,3,1,Manchester United,PERSA,4.45
1387929,0.22,,,,15/03/26,paris saint germain,Paris Saint Germain,Nantes,3,0,Paris Saint Germain,VINTA,1.22
1381104,0.31,,,,15/03/26,feyenoord,Feyenoord,Excelsior,2,1,Feyenoord,VINTA,1.31
1391091,0.29,,,,15/03/26,barcelona,Barcelona,Sevilla,5,2,Barcelona,VINTA,1.29
1379264,0.31,,,,15/03/26,liverpool,Liverpool,Tottenham,1,1,pareggio,VINTAP,1.31
1396469,0.15,,,,15/03/26,sporting cp,Sporting CP,Tondela,2,2,pareggio,VINTAP,1.15
1436146,1.62,,,,13/03/26,al-ahli jeddah,Al-Qadisiyah FC,Al-Ahli Jeddah,3,2,Al-Qadisiyah FC,VINTAP,2.62
1394662,-1.0,,,,13/03/26,fenerbahce,Fatih Karagümrük,Fenerbahçe,2,0,Fatih Karagümrük,PERSA,1.39
1391089,-1.0,,,,13/03/26,villarreal,Alaves,Villarreal,1,1,pareggio,PERSA,2.2
1387926,0.43,,,,13/03/26,marseille,Marseille,Auxerre,1,0,Marseille,VINTA,1.43
1378142,-1.0,,,,08/03/26,inter,AC Milan,Inter,1,0,AC Milan,PERSA,2.34
1396454,-1.0,,,,08/03/26,benfica,Benfica,FC Porto,2,2,pareggio,PERSA,2.0
