team_id,team_name,league_id,league_name,season,rank,points,played,won,draw,lost,goals_for,goals_against,goal_diff,current_matchday
2939,al-nassr,307,saudi professional league,2025,1,55,22,18,1,3,57,18,39,22
2932,al-hilal saudi fc,307,saudi professional league,2025,2,54,22,16,6,0,56,19,37,22
2929,al-ahli jeddah,307,saudi professional league,2025,3,53,22,16,5,1,44,15,29,22
2933,al-qadisiyah fc,307,saudi professional league,2025,4,50,22,15,5,2,50,21,29,22
2936,al taawon,307,saudi professional league,2025,5,39,22,12,3,7,40,27,13,22
2938,al-ittihad fc,307,saudi professional league,2025,6,38,22,11,5,6,37,27,10,22
2934,al-ettifaq,307,saudi professional league,2025,7,38,22,11,5,6,34,35,-1,22
10513,neom,307,saudi professional league,2025,8,31,22,9,4,9,27,30,-3,22
2928,al khaleej saihat,307,saudi professional league,2025,9,27,22,7,6,9,40,34,6,22
2944,al-fayha,307,saudi professional league,2025,10,26,22,7,5,10,26,37,-11,22
2931,al-fateh,307,saudi professional league,2025,11,24,22,6,6,10,29,41,-12,22
2945,al-hazm,307,saudi professional league,2025,12,24,22,6,6,10,22,42,-20,22
2940,al shabab,307,saudi professional league,2025,13,22,22,5,7,10,24,32,-8,22
10509,al kholood,307,saudi professional league,2025,14,19,22,6,1,15,27,39,-12,22
10511,al riyadh,307,saudi professional league,2025,15,16,22,3,7,12,21,41,-20,22
2956,damac,307,saudi professional league,2025,16,15,22,2,9,11,17,39,-22,22
2977,al okhdood,307,saudi professional league,2025,17,10,22,2,4,16,18,47,-29,22
2992,al najma,307,saudi professional league,2025,18,8,22,1,5,16,21,46,-25,22
620,dinamo zagreb,210,hnl,2025,1,51,23,16,3,4,52,17,35,23
608,hnk hajduk split,210,hnl,2025,2,46,23,14,4,5,35,20,15,23
561,hnk rijeka,210,hnl,2025,3,32,23,8,8,7,34,25,9,23
1483,nk varazdin,210,hnl,2025,4,32,23,9,5,9,29,34,-5,23
1018,nk slaven belupo,210,hnl,2025,5,31,23,8,7,8,32,36,-4,23
1016,istra 1961,210,hnl,2025,6,30,23,8,6,9,29,34,-5,23
1017,nk lokomotiva zagreb,210,hnl,2025,7,29,23,7,8,8,29,35,-6,23
1068,hnk gorica,210,hnl,2025,8,26,23,7,5,11,25,32,-7,23
5730,vukovar,210,hnl,2025,9,20,23,4,8,11,26,41,-15,23
616,nk osijek,210,hnl,2025,10,17,23,3,8,12,19,36,-17,23
85,paris saint germain,61,ligue 1,2025,1,54,23,17,3,3,52,19,33,23
116,lens,61,ligue 1,2025,2,52,23,17,1,5,44,20,24,23
80,lyon,61,ligue 1,2025,3,45,23,14,3,6,37,23,14,23
81,marseille,61,ligue 1,2025,4,40,23,12,4,7,48,31,17,23
79,lille,61,ligue 1,2025,5,37,23,11,4,8,36,31,5,23
94,rennes,61,ligue 1,2025,6,37,23,10,7,6,37,35,2,23
95,strasbourg,61,ligue 1,2025,7,34,23,10,4,9,39,30,9,23
91,monaco,61,ligue 1,2025,8,34,23,10,4,9,38,36,2,23
97,lorient,61,ligue 1,2025,9,32,23,8,8,7,32,36,-4,23
96,toulouse,61,ligue 1,2025,10,31,23,8,7,8,33,27,6,23
106,stade brestois 29,61,ligue 1,2025,11,30,23,8,6,9,31,34,-3,23
77,angers,61,ligue 1,2025,12,29,23,8,5,10,22,28,-6,23
111,le havre,61,ligue 1,2025,13,26,23,6,8,9,20,29,-9,23
84,nice,61,ligue 1,2025,14,24,23,6,6,11,30,43,-13,23
114,paris fc,61,ligue 1,2025,15,23,23,5,8,10,27,40,-13,23
108,auxerre,61,ligue 1,2025,16,17,23,4,5,14,17,33,-16,23
83,nantes,61,ligue 1,2025,17,17,23,4,5,14,22,40,-18,23
112,metz,61,ligue 1,2025,18,13,23,3,4,16,22,52,-30,23
157,bayern munich,78,bundesliga,2025,1,60,23,19,3,1,85,21,64,23
165,borussia dortmund,78,bundesliga,2025,2,52,23,15,7,1,49,22,27,23
167,1899 hoffenheim,78,bundesliga,2025,3,46,23,14,4,5,49,30,19,23
172,vfb stuttgart,78,bundesliga,2025,4,43,23,13,4,6,44,32,12,23
173,rb leipzig,78,bundesliga,2025,5,41,23,12,5,6,44,32,12,23
168,bayer leverkusen,78,bundesliga,2025,6,39,22,12,3,7,43,28,15,23
