match_id,date,league_id,league_name,season,home_team,away_team,home_score,away_score,status
1436116,2026-02-21T19:00:00+00:00,307,saudi pro league,2025,al khaleej saihat,neom,,,NS
1436115,2026-02-21T19:00:00+00:00,307,saudi pro league,2025,al-hilal saudi fc,al-ittihad fc,,,NS
1436112,2026-02-21T19:00:00+00:00,307,saudi pro league,2025,al-nassr,al-hazm,,,NS
1436001,2026-02-23T19:00:00+00:00,307,saudi pro league,2025,al-fateh,al okhdood,,,NS
1435999,2026-02-23T19:00:00+00:00,307,saudi pro league,2025,al-qadisiyah fc,al-ettifaq,,,NS
1435995,2026-02-23T19:00:00+00:00,307,saudi pro league,2025,al shabab,al riyadh,,,NS
1435997,2026-02-23T19:00:00+00:00,307,saudi pro league,2025,damac,al-ahli jeddah,,,NS
1435998,2026-02-24T19:00:00+00:00,307,saudi pro league,2025,al khaleej saihat,al kholood,,,NS
1436002,2026-02-24T19:00:00+00:00,307,saudi pro league,2025,al taawon,al-hilal saudi fc,,,NS
1435996,2026-02-24T19:00:00+00:00,307,saudi pro league,2025,al-hazm,al-ittihad fc,,,NS
1435994,2026-02-25T19:00:00+00:00,307,saudi pro league,2025,al-fayha,neom,,,NS
1436000,2026-02-25T19:00:00+00:00,307,saudi pro league,2025,al najma,al-nassr,,,NS
1436122,2026-02-26T19:00:00+00:00,307,saudi pro league,2025,al-fateh,damac,,,NS
1436121,2026-02-26T19:00:00+00:00,307,saudi pro league,2025,al riyadh,al-ahli jeddah,,,NS
1436124,2026-02-27T19:00:00+00:00,307,saudi pro league,2025,al-ittihad fc,al khaleej saihat,,,NS
1436123,2026-02-27T19:00:00+00:00,307,saudi pro league,2025,al shabab,al-hilal saudi fc,,,NS
1436120,2026-02-27T19:00:00+00:00,307,saudi pro league,2025,al-hazm,al-ettifaq,,,NS
1436125,2026-02-28T19:00:00+00:00,307,saudi pro league,2025,al-qadisiyah fc,al taawon,,,NS
1436126,2026-02-28T19:00:00+00:00,307,saudi pro league,2025,al-fayha,al-nassr,,,NS
1436127,2026-02-28T19:00:00+00:00,307,saudi pro league,2025,al najma,al okhdood,,,NS
1384030,2026-02-21T14:00:00+00:00,210,hnl,2025,istra 1961,hnk gorica,,,NS
1384031,2026-02-21T16:15:00+00:00,210,hnl,2025,nk lokomotiva zagreb,nk osijek,,,NS
1384032,2026-02-22T14:00:00+00:00,210,hnl,2025,nk varazdin,dinamo zagreb,,,NS
1384029,2026-02-22T16:45:00+00:00,210,hnl,2025,hnk hajduk split,hnk rijeka,,,NS
1384037,2026-02-27T17:00:00+00:00,210,hnl,2025,nk slaven belupo,istra 1961,,,NS
1384035,2026-02-28T14:00:00+00:00,210,hnl,2025,nk osijek,vukovar,,,NS
1384038,2026-02-28T16:45:00+00:00,210,hnl,2025,nk varazdin,hnk hajduk split,,,NS
1384036,2026-03-01T14:00:00+00:00,210,hnl,2025,hnk rijeka,nk lokomotiva zagreb,,,NS
1384034,2026-03-01T16:15:00+00:00,210,hnl,2025,dinamo zagreb,hnk gorica,,,NS
1384041,2026-03-06T17:00:00+00:00,210,hnl,2025,istra 1961,nk osijek,,,NS
1384039,2026-03-07T14:00:00+00:00,210,hnl,2025,hnk gorica,nk slaven belupo,,,NS
